obs_id	sample_id	cell_type	specimen_id	section_id	compartment	stratum	x	y	distance	exclude
S1_0_0	S1	T	spec-S1	sec-S1-0	tissue	all	0	0	0	false
S1_0_1	S1	T	spec-S1	sec-S1-0	tissue	all	10	0	10	false
S1_0_2	S1	T	spec-S1	sec-S1-0	tissue	all	20	0	20	false
S1_0_3	S1	T	spec-S1	sec-S1-0	tissue	all	30	0	30	false
S1_0_4	S1	T	spec-S1	sec-S1-0	tissue	all	40	0	40	false
S1_0_5	S1	T	spec-S1	sec-S1-0	tissue	all	0	10	0	false
S1_0_6	S1	T	spec-S1	sec-S1-0	tissue	all	10	10	10	false
S1_0_7	S1	T	spec-S1	sec-S1-0	tissue	all	20	10	20	false
S1_0_8	S1	B	spec-S1	sec-S1-0	tissue	all	30	10	30	false
S1_0_9	S1	B	spec-S1	sec-S1-0	tissue	all	40	10	40	false
S1_0_10	S1	B	spec-S1	sec-S1-0	tissue	all	0	20	0	false
S1_0_11	S1	B	spec-S1	sec-S1-0	tissue	all	10	20	10	false
S1_0_12	S1	B	spec-S1	sec-S1-0	tissue	all	20	20	20	false
S1_0_13	S1	B	spec-S1	sec-S1-0	tissue	all	30	20	30	false
S1_0_14	S1	B	spec-S1	sec-S1-0	tissue	all	40	20	40	false
S1_0_15	S1	B	spec-S1	sec-S1-0	tissue	all	0	30	0	false
S1_0_16	S1	B	spec-S1	sec-S1-0	tissue	all	10	30	10	false
S1_0_17	S1	B	spec-S1	sec-S1-0	tissue	all	20	30	20	false
S1_0_18	S1	B	spec-S1	sec-S1-0	tissue	all	30	30	30	false
S1_0_19	S1	B	spec-S1	sec-S1-0	tissue	all	40	30	40	false
S1_1_0	S1	T	spec-S1	sec-S1-1	tissue	all	0	0	0	false
S1_1_1	S1	T	spec-S1	sec-S1-1	tissue	all	10	0	10	false
S1_1_2	S1	T	spec-S1	sec-S1-1	tissue	all	20	0	20	false
S1_1_3	S1	T	spec-S1	sec-S1-1	tissue	all	30	0	30	false
S1_1_4	S1	T	spec-S1	sec-S1-1	tissue	all	40	0	40	false
S1_1_5	S1	T	spec-S1	sec-S1-1	tissue	all	0	10	0	false
S1_1_6	S1	T	spec-S1	sec-S1-1	tissue	all	10	10	10	false
S1_1_7	S1	T	spec-S1	sec-S1-1	tissue	all	20	10	20	false
S1_1_8	S1	B	spec-S1	sec-S1-1	tissue	all	30	10	30	false
S1_1_9	S1	B	spec-S1	sec-S1-1	tissue	all	40	10	40	false
S1_1_10	S1	B	spec-S1	sec-S1-1	tissue	all	0	20	0	false
S1_1_11	S1	B	spec-S1	sec-S1-1	tissue	all	10	20	10	false
S1_1_12	S1	B	spec-S1	sec-S1-1	tissue	all	20	20	20	false
S1_1_13	S1	B	spec-S1	sec-S1-1	tissue	all	30	20	30	false
S1_1_14	S1	B	spec-S1	sec-S1-1	tissue	all	40	20	40	false
S1_1_15	S1	B	spec-S1	sec-S1-1	tissue	all	0	30	0	false
S1_1_16	S1	B	spec-S1	sec-S1-1	tissue	all	10	30	10	false
S1_1_17	S1	B	spec-S1	sec-S1-1	tissue	all	20	30	20	false
S1_1_18	S1	B	spec-S1	sec-S1-1	tissue	all	30	30	30	false
S1_1_19	S1	B	spec-S1	sec-S1-1	tissue	all	40	30	40	false
S2_0_0	S2	T	spec-S2	sec-S2-0	tissue	all	0	0	0	false
S2_0_1	S2	T	spec-S2	sec-S2-0	tissue	all	10	0	10	false
S2_0_2	S2	T	spec-S2	sec-S2-0	tissue	all	20	0	20	false
S2_0_3	S2	T	spec-S2	sec-S2-0	tissue	all	30	0	30	false
S2_0_4	S2	T	spec-S2	sec-S2-0	tissue	all	40	0	40	false
S2_0_5	S2	T	spec-S2	sec-S2-0	tissue	all	0	10	0	false
S2_0_6	S2	T	spec-S2	sec-S2-0	tissue	all	10	10	10	false
S2_0_7	S2	T	spec-S2	sec-S2-0	tissue	all	20	10	20	false
S2_0_8	S2	T	spec-S2	sec-S2-0	tissue	all	30	10	30	false
S2_0_9	S2	B	spec-S2	sec-S2-0	tissue	all	40	10	40	false
S2_0_10	S2	B	spec-S2	sec-S2-0	tissue	all	0	20	0	false
S2_0_11	S2	B	spec-S2	sec-S2-0	tissue	all	10	20	10	false
S2_0_12	S2	B	spec-S2	sec-S2-0	tissue	all	20	20	20	false
S2_0_13	S2	B	spec-S2	sec-S2-0	tissue	all	30	20	30	false
S2_0_14	S2	B	spec-S2	sec-S2-0	tissue	all	40	20	40	false
S2_0_15	S2	B	spec-S2	sec-S2-0	tissue	all	0	30	0	false
S2_0_16	S2	B	spec-S2	sec-S2-0	tissue	all	10	30	10	false
S2_0_17	S2	B	spec-S2	sec-S2-0	tissue	all	20	30	20	false
S2_0_18	S2	B	spec-S2	sec-S2-0	tissue	all	30	30	30	false
S2_0_19	S2	B	spec-S2	sec-S2-0	tissue	all	40	30	40	false
S2_1_0	S2	T	spec-S2	sec-S2-1	tissue	all	0	0	0	false
S2_1_1	S2	T	spec-S2	sec-S2-1	tissue	all	10	0	10	false
S2_1_2	S2	T	spec-S2	sec-S2-1	tissue	all	20	0	20	false
S2_1_3	S2	T	spec-S2	sec-S2-1	tissue	all	30	0	30	false
S2_1_4	S2	T	spec-S2	sec-S2-1	tissue	all	40	0	40	false
S2_1_5	S2	T	spec-S2	sec-S2-1	tissue	all	0	10	0	false
S2_1_6	S2	T	spec-S2	sec-S2-1	tissue	all	10	10	10	false
S2_1_7	S2	T	spec-S2	sec-S2-1	tissue	all	20	10	20	false
S2_1_8	S2	T	spec-S2	sec-S2-1	tissue	all	30	10	30	false
S2_1_9	S2	B	spec-S2	sec-S2-1	tissue	all	40	10	40	false
S2_1_10	S2	B	spec-S2	sec-S2-1	tissue	all	0	20	0	false
S2_1_11	S2	B	spec-S2	sec-S2-1	tissue	all	10	20	10	false
S2_1_12	S2	B	spec-S2	sec-S2-1	tissue	all	20	20	20	false
S2_1_13	S2	B	spec-S2	sec-S2-1	tissue	all	30	20	30	false
S2_1_14	S2	B	spec-S2	sec-S2-1	tissue	all	40	20	40	false
S2_1_15	S2	B	spec-S2	sec-S2-1	tissue	all	0	30	0	false
S2_1_16	S2	B	spec-S2	sec-S2-1	tissue	all	10	30	10	false
S2_1_17	S2	B	spec-S2	sec-S2-1	tissue	all	20	30	20	false
S2_1_18	S2	B	spec-S2	sec-S2-1	tissue	all	30	30	30	false
S2_1_19	S2	B	spec-S2	sec-S2-1	tissue	all	40	30	40	false
S3_0_0	S3	T	spec-S3	sec-S3-0	tissue	all	0	0	0	false
S3_0_1	S3	T	spec-S3	sec-S3-0	tissue	all	10	0	10	false
S3_0_2	S3	T	spec-S3	sec-S3-0	tissue	all	20	0	20	false
S3_0_3	S3	T	spec-S3	sec-S3-0	tissue	all	30	0	30	false
S3_0_4	S3	T	spec-S3	sec-S3-0	tissue	all	40	0	40	false
S3_0_5	S3	T	spec-S3	sec-S3-0	tissue	all	0	10	0	false
S3_0_6	S3	T	spec-S3	sec-S3-0	tissue	all	10	10	10	false
S3_0_7	S3	T	spec-S3	sec-S3-0	tissue	all	20	10	20	false
S3_0_8	S3	T	spec-S3	sec-S3-0	tissue	all	30	10	30	false
S3_0_9	S3	T	spec-S3	sec-S3-0	tissue	all	40	10	40	false
S3_0_10	S3	B	spec-S3	sec-S3-0	tissue	all	0	20	0	false
S3_0_11	S3	B	spec-S3	sec-S3-0	tissue	all	10	20	10	false
S3_0_12	S3	B	spec-S3	sec-S3-0	tissue	all	20	20	20	false
S3_0_13	S3	B	spec-S3	sec-S3-0	tissue	all	30	20	30	false
S3_0_14	S3	B	spec-S3	sec-S3-0	tissue	all	40	20	40	false
S3_0_15	S3	B	spec-S3	sec-S3-0	tissue	all	0	30	0	false
S3_0_16	S3	B	spec-S3	sec-S3-0	tissue	all	10	30	10	false
S3_0_17	S3	B	spec-S3	sec-S3-0	tissue	all	20	30	20	false
S3_0_18	S3	B	spec-S3	sec-S3-0	tissue	all	30	30	30	false
S3_0_19	S3	B	spec-S3	sec-S3-0	tissue	all	40	30	40	false
S3_1_0	S3	T	spec-S3	sec-S3-1	tissue	all	0	0	0	false
S3_1_1	S3	T	spec-S3	sec-S3-1	tissue	all	10	0	10	false
S3_1_2	S3	T	spec-S3	sec-S3-1	tissue	all	20	0	20	false
S3_1_3	S3	T	spec-S3	sec-S3-1	tissue	all	30	0	30	false
S3_1_4	S3	T	spec-S3	sec-S3-1	tissue	all	40	0	40	false
