obs_id	feature_id	count
S1_0_0	MT-GENE	2
S1_0_0	GENE01	20
S1_0_0	GENE02	13
S1_0_0	GENE03	11
S1_0_0	GENE04	23
S1_0_0	GENE05	18
S1_0_0	GENE06	24
S1_0_0	GENE07	3
S1_0_0	GENE08	9
S1_0_0	GENE09	17
S1_0_0	GENE10	19
S1_0_0	GENE11	27
S1_0_0	GENE12	29
S1_0_0	GENE13	31
S1_0_0	GENE14	4
S1_0_0	GENE15	14
S1_0_0	GENE16	12
S1_0_0	GENE17	21
S1_0_0	GENE18	28
S1_0_0	GENE19	19
S1_0_0	GENE20	5
S1_0_0	GENE21	8
S1_0_0	GENE22	8
S1_0_0	GENE23	7
S1_0_0	GENE24	25
S1_0_0	GENE25	21
S1_0_0	GENE26	25
S1_0_0	GENE27	8
S1_0_0	GENE28	10
S1_0_0	GENE29	15
S1_0_0	GENE30	17
S1_0_1	MT-GENE	3
S1_0_1	GENE01	8
S1_0_1	GENE02	15
S1_0_1	GENE03	18
S1_0_1	GENE04	22
S1_0_1	GENE05	16
S1_0_1	GENE06	17
S1_0_1	GENE07	6
S1_0_1	GENE08	10
S1_0_1	GENE09	7
S1_0_1	GENE10	21
S1_0_1	GENE11	20
S1_0_1	GENE12	13
S1_0_1	GENE13	33
S1_0_1	GENE14	9
S1_0_1	GENE15	9
S1_0_1	GENE16	7
S1_0_1	GENE17	13
S1_0_1	GENE18	14
S1_0_1	GENE19	30
S1_0_1	GENE20	7
S1_0_1	GENE21	5
S1_0_1	GENE22	9
S1_0_1	GENE23	10
S1_0_1	GENE24	19
S1_0_1	GENE25	22
S1_0_1	GENE26	17
S1_0_1	GENE27	6
S1_0_1	GENE28	12
S1_0_1	GENE29	13
S1_0_1	GENE30	20
S1_0_2	MT-GENE	1
S1_0_2	GENE01	17
S1_0_2	GENE02	13
S1_0_2	GENE03	30
S1_0_2	GENE04	10
S1_0_2	GENE05	25
S1_0_2	GENE06	27
S1_0_2	GENE07	7
S1_0_2	GENE08	13
S1_0_2	GENE09	16
S1_0_2	GENE10	9
S1_0_2	GENE11	16
S1_0_2	GENE12	21
S1_0_2	GENE13	12
S1_0_2	GENE14	4
S1_0_2	GENE15	13
S1_0_2	GENE16	16
S1_0_2	GENE17	21
S1_0_2	GENE18	24
S1_0_2	GENE19	19
S1_0_2	GENE20	6
S1_0_2	GENE21	5
S1_0_2	GENE22	13
S1_0_2	GENE23	12
S1_0_2	GENE24	18
S1_0_2	GENE25	25
S1_0_2	GENE26	30
S1_0_2	GENE27	4
S1_0_2	GENE28	6
S1_0_2	GENE29	9
S1_0_2	GENE30	17
S1_0_3	MT-GENE	2
S1_0_3	GENE01	15
S1_0_3	GENE02	26
S1_0_3	GENE03	21
S1_0_3	GENE04	16
S1_0_3	GENE05	12
S1_0_3	GENE06	13
S1_0_3	GENE07	9
S1_0_3	GENE08	7
S1_0_3	GENE09	16
S1_0_3	GENE10	19
S1_0_3	GENE11	26
S1_0_3	GENE12	28
S1_0_3	GENE13	13
S1_0_3	GENE14	5
S1_0_3	GENE15	9
S1_0_3	GENE16	9
S1_0_3	GENE17	18
S1_0_3	GENE18	21
S1_0_3	GENE19	26
S1_0_3	GENE20	4
S1_0_3	GENE21	4
S1_0_3	GENE22	9
S1_0_3	GENE23	12
S1_0_3	GENE24	23
S1_0_3	GENE25	25
S1_0_3	GENE26	27
S1_0_3	GENE27	8
S1_0_3	GENE28	11
S1_0_3	GENE29	8
S1_0_3	GENE30	10
S1_0_4	MT-GENE	2
S1_0_4	GENE01	9
S1_0_4	GENE02	18
S1_0_4	GENE03	15
S1_0_4	GENE04	18
S1_0_4	GENE05	21
S1_0_4	GENE06	16
S1_0_4	GENE07	4
S1_0_4	GENE08	9
S1_0_4	GENE09	12
S1_0_4	GENE10	11
S1_0_4	GENE11	9
S1_0_4	GENE12	25
S1_0_4	GENE13	36
S1_0_4	GENE14	4
S1_0_4	GENE15	8
S1_0_4	GENE16	8
S1_0_4	GENE17	11
S1_0_4	GENE18	18
S1_0_4	GENE19	12
S1_0_4	GENE20	5
S1_0_4	GENE21	8
S1_0_4	GENE22	7
S1_0_4	GENE23	14
S1_0_4	GENE24	11
S1_0_4	GENE25	26
S1_0_4	GENE26	12
S1_0_4	GENE27	6
S1_0_4	GENE28	9
S1_0_4	GENE29	12
S1_0_4	GENE30	9
S1_0_5	MT-GENE	1
S1_0_5	GENE01	14
S1_0_5	GENE02	17
S1_0_5	GENE03	31
S1_0_5	GENE04	25
S1_0_5	GENE05	12
S1_0_5	GENE06	19
S1_0_5	GENE07	3
S1_0_5	GENE08	6
S1_0_5	GENE09	11
S1_0_5	GENE10	18
S1_0_5	GENE11	16
S1_0_5	GENE12	20
S1_0_5	GENE13	18
S1_0_5	GENE14	6
S1_0_5	GENE15	11
S1_0_5	GENE16	14
S1_0_5	GENE17	8
S1_0_5	GENE18	12
S1_0_5	GENE19	24
S1_0_5	GENE20	6
S1_0_5	GENE21	9
S1_0_5	GENE22	15
S1_0_5	GENE23	9
S1_0_5	GENE24	21
S1_0_5	GENE25	13
S1_0_5	GENE26	18
S1_0_5	GENE27	6
S1_0_5	GENE28	8
S1_0_5	GENE29	6
S1_0_5	GENE30	9
S1_0_6	MT-GENE	1
S1_0_6	GENE01	16
S1_0_6	GENE02	12
S1_0_6	GENE03	15
S1_0_6	GENE04	22
S1_0_6	GENE05	24
S1_0_6	GENE06	23
S1_0_6	GENE07	4
S1_0_6	GENE08	12
S1_0_6	GENE09	10
S1_0_6	GENE10	16
S1_0_6	GENE11	17
S1_0_6	GENE12	27
S1_0_6	GENE13	13
S1_0_6	GENE14	9
S1_0_6	GENE15	5
S1_0_6	GENE16	9
S1_0_6	GENE17	23
S1_0_6	GENE18	19
S1_0_6	GENE19	22
S1_0_6	GENE20	6
S1_0_6	GENE21	9
S1_0_6	GENE22	6
S1_0_6	GENE23	16
S1_0_6	GENE24	13
S1_0_6	GENE25	23
S1_0_6	GENE26	21
S1_0_6	GENE27	5
S1_0_6	GENE28	12
S1_0_6	GENE29	15
S1_0_6	GENE30	16
S1_0_7	MT-GENE	2
S1_0_7	GENE01	18
S1_0_7	GENE02	25
S1_0_7	GENE03	24
S1_0_7	GENE04	21
S1_0_7	GENE05	19
S1_0_7	GENE06	31
S1_0_7	GENE07	3
S1_0_7	GENE08	13
S1_0_7	GENE09	16
S1_0_7	GENE10	18
S1_0_7	GENE11	26
S1_0_7	GENE12	29
S1_0_7	GENE13	14
S1_0_7	GENE14	10
S1_0_7	GENE15	10
S1_0_7	GENE16	13
S1_0_7	GENE17	17
S1_0_7	GENE18	12
S1_0_7	GENE19	24
S1_0_7	GENE20	5
S1_0_7	GENE21	6
S1_0_7	GENE22	10
S1_0_7	GENE23	18
S1_0_7	GENE24	9
S1_0_7	GENE25	17
S1_0_7	GENE26	20
S1_0_7	GENE27	7
S1_0_7	GENE28	10
S1_0_7	GENE29	15
S1_0_7	GENE30	10
S1_0_8	MT-GENE	2
S1_0_8	GENE01	4
S1_0_8	GENE02	7
S1_0_8	GENE03	12
S1_0_8	GENE04	15
S1_0_8	GENE05	11
S1_0_8	GENE06	33
S1_0_8	GENE07	9
S1_0_8	GENE08	11
S1_0_8	GENE09	11
S1_0_8	GENE10	8
S1_0_8	GENE11	25
S1_0_8	GENE12	26
S1_0_8	GENE13	17
S1_0_8	GENE14	8
S1_0_8	GENE15	10
S1_0_8	GENE16	19
S1_0_8	GENE17	19
S1_0_8	GENE18	10
S1_0_8	GENE19	29
S1_0_8	GENE20	3
S1_0_8	GENE21	7
S1_0_8	GENE22	10
S1_0_8	GENE23	15
S1_0_8	GENE24	25
S1_0_8	GENE25	24
S1_0_8	GENE26	14
S1_0_8	GENE27	6
S1_0_8	GENE28	12
S1_0_8	GENE29	14
S1_0_8	GENE30	19
S1_0_9	MT-GENE	2
S1_0_9	GENE01	11
S1_0_9	GENE02	12
S1_0_9	GENE03	9
S1_0_9	GENE04	10
S1_0_9	GENE05	20
S1_0_9	GENE06	25
S1_0_9	GENE07	8
S1_0_9	GENE08	8
S1_0_9	GENE09	14
S1_0_9	GENE10	19
S1_0_9	GENE11	23
S1_0_9	GENE12	21
S1_0_9	GENE13	33
S1_0_9	GENE14	6
S1_0_9	GENE15	5
S1_0_9	GENE16	7
S1_0_9	GENE17	10
S1_0_9	GENE18	20
S1_0_9	GENE19	27
S1_0_9	GENE20	3
S1_0_9	GENE21	12
S1_0_9	GENE22	13
S1_0_9	GENE23	12
S1_0_9	GENE24	20
S1_0_9	GENE25	29
S1_0_9	GENE26	25
S1_0_9	GENE27	6
S1_0_9	GENE28	9
S1_0_9	GENE29	12
S1_0_9	GENE30	18
S1_0_10	MT-GENE	2
S1_0_10	GENE01	8
S1_0_10	GENE02	15
S1_0_10	GENE03	7
S1_0_10	GENE04	24
S1_0_10	GENE05	22
S1_0_10	GENE06	15
S1_0_10	GENE07	9
S1_0_10	GENE08	10
S1_0_10	GENE09	9
S1_0_10	GENE10	16
S1_0_10	GENE11	15
S1_0_10	GENE12	28
S1_0_10	GENE13	29
S1_0_10	GENE14	9
S1_0_10	GENE15	13
S1_0_10	GENE16	11
S1_0_10	GENE17	23
S1_0_10	GENE18	10
S1_0_10	GENE19	12
S1_0_10	GENE20	4
