source	target	weight	type
G01	G02	0.8	synthetic_physical
G02	G03	0.8	synthetic_physical
G03	G04	0.8	synthetic_physical
G04	G05	0.8	synthetic_physical
G05	G06	0.8	synthetic_physical
G06	G07	0.8	synthetic_physical
G07	G08	0.8	synthetic_physical
G08	G09	0.8	synthetic_physical
G09	G10	0.8	synthetic_physical
G10	G11	0.8	synthetic_physical
G11	G12	0.8	synthetic_physical
G12	G13	0.8	synthetic_physical
G13	G14	0.8	synthetic_physical
G14	G15	0.8	synthetic_physical
G15	G16	0.8	synthetic_physical
G16	G17	0.8	synthetic_physical
G17	G18	0.8	synthetic_physical
G18	G19	0.8	synthetic_physical
G19	G20	0.8	synthetic_physical
G20	G21	0.8	synthetic_physical
G21	G22	0.8	synthetic_physical
G22	G23	0.8	synthetic_physical
G23	G24	0.8	synthetic_physical
