row	A:A	A:B	A:C	A:D	B:B	B:C	B:D	C:C	C:D	D:D
A:A	1e-04	2e-05	4e-06	8e-07	1.6e-07	3.2e-08	6.4e-09	1.28e-09	2.56e-10	5.12e-11
A:B	2e-05	1e-04	2e-05	4e-06	8e-07	1.6e-07	3.2e-08	6.4e-09	1.28e-09	2.56e-10
A:C	4e-06	2e-05	1e-04	2e-05	4e-06	8e-07	1.6e-07	3.2e-08	6.4e-09	1.28e-09
A:D	8e-07	4e-06	2e-05	1e-04	2e-05	4e-06	8e-07	1.6e-07	3.2e-08	6.4e-09
B:B	1.6e-07	8e-07	4e-06	2e-05	1e-04	2e-05	4e-06	8e-07	1.6e-07	3.2e-08
B:C	3.2e-08	1.6e-07	8e-07	4e-06	2e-05	1e-04	2e-05	4e-06	8e-07	1.6e-07
B:D	6.4e-09	3.2e-08	1.6e-07	8e-07	4e-06	2e-05	1e-04	2e-05	4e-06	8e-07
C:C	1.28e-09	6.4e-09	3.2e-08	1.6e-07	8e-07	4e-06	2e-05	1e-04	2e-05	4e-06
C:D	2.56e-10	1.28e-09	6.4e-09	3.2e-08	1.6e-07	8e-07	4e-06	2e-05	1e-04	2e-05
D:D	5.12e-11	2.56e-10	1.28e-09	6.4e-09	3.2e-08	1.6e-07	8e-07	4e-06	2e-05	1e-04
